ken,population
北海道,5460004
青森県,1349549
岩手県,1303154
宮城県,2325247
秋田県,1062761
山形県,1151658
福島県,1961705
茨城県,2943367
栃木県,1991727
群馬県,1992160
埼玉県,7212182
千葉県,6194518
東京都,13229598
神奈川県,9066947
新潟県,2346681
富山県,1082457
石川県,1162919
福井県,798866
山梨県,852376
長野県,2131753
岐阜県,2061379
静岡県,3734540
愛知県,7427108
三重県,1840367
滋賀県,1414765
京都府,2624994
大阪府,8855918
兵庫県,5570763
奈良県,1389753
和歌山県,987715
鳥取県,581784
島根県,706822
岡山県,1936039
広島県,2848212
山口県,1430616
徳島県,775516
香川県,989087
愛媛県,1414846
高知県,751641
福岡県,5085246
佐賀県,843493
長崎県,1407826
熊本県,1806918
大分県,1185413
宮崎県,1126148
鹿児島県,1689641
沖縄県,1408954
