ken,population
Hokkai Do,5381000
Aomori Ken,1318000
Iwate Ken,1280000
Miyagi Ken,2316000
Akita Ken,1034000
Yamagata Ken,1125000
Fukusima Ken,1928000
Ibaraki Ken,2881000
Tochigi Ken,1954000
Gunma Ken,1941000
Saitama Ken,7143000
Chiba Ken,6114000
Tokyo To,13044000
Kanagawa Ken,8967000
Niigata Ken,2302000
Toyama Ken,1059000
Ishikawa Ken,1146000
Fukui Ken,780000
Yamanashi Ken,830000
Nagano Ken,2083000
Gifu Ken,2008000
Shizuoka Ken,3651000
Aichi Ken,7298000
Mie Ken,1793000
Shiga Ken,1397000
Kyoto Fu,2569000
Osaka Fu,8678000
Hyogo Ken,5468000
Nara Ken,1367000
Wakayama Ken,967000
Tottori Ken,571000
Shimane Ken,692000
Okayama Ken,1907000
Hiroshima Ken,2801000
Yamaguchi Ken,1397000
Tokushima Ken,760000
Kagawa Ken,974000
Ehime Ken,1388000
Kochi Ken,735000
Fukuoka Ken,5046000
Saga Ken,831000
Nagasaki Ken,1380000
Kumamoto Ken,1785000
Oita Ken,1163000
Miyazaki Ken,1110000
Kagoshima Ken,1662000
Okinawa Ken,1411000
